Key,Value,T
serviceQuests,Get Quest,获取任务
serviceSell,Sell,卖
serviceBanking,Banking,银行业
serviceIdentify,Identify,确认
serviceBuySpells,Buy Spells,购买法术
serviceTraining,Training,训练
serviceTeleport,Teleportation,传送
serviceMakeSpells,Make Spells,制作咒语
serviceBuyMagicItems,Buy Magic Items,购买魔法物品
serviceSellMagicItems,Sell Magic Items,出售魔术物品
serviceDaedraSummon,Daedra Summoning,达德拉召唤
serviceMakeMagicItems,Make Magic Items,制作魔法物品
serviceRepairs,Repairs,维修
serviceDonate,Make Donation,捐款
serviceCure,Cure Disease,治愈疾病
serviceSpymaster,Spymaster,Spymaster
serviceMakePotions,Make Potions,做药水
serviceBuyPotions,Buy Potions,购买药水
serviceBuySoulgems,Buy Soulgems,购买soulgems
serviceReceiveArmor,Receive Armor,接收装甲
serviceReceiveHouse,Receive House,收到房子
serviceReceiveHouseAlready,You have already received your house.,您已经收到了房子。
accessMembersOnly,You need to be a member of sufficient rank to access this.,您需要成为足够排名的成员才能访问此问题。
serviceCured,You are cured.,你已经治愈了。
serviceSummonCost1,"%pcn, the cost for me to attempt a",％PCN，我尝试尝试的费用
serviceSummonCost2,summoning of %dae is ,召唤％dae是
serviceSummonCost3, gold.,金子。
roomFreeForKnightSuchAsYou,The room is free for a knight such as you.,像你这样的骑士免费的房间是免费的。
roomFreeDueToHeartsDay,Room is free due to Heart's Day.,由于内心的日子，房间是免费的。
youAreNotHungry,You are not hungry.,你不饿。
exhaustedInWater,Fatigue overcomes you and sends you to a watery grave....,疲劳克服了您，并将您送到一个水坟墓。
youFeelSomewhatBad,You feel somewhat bad.,你感觉有些不好。
avoidDeath,"By the mercy of Stendarr, you survive certain death!",受Stendarr的怜悯，您可以在某些死亡中幸存下来！
pronounHe,he,他
pronounShe,she,她
pronounHim,him,他
pronounHer,her,她
pronounHis,his,他的
pronounHers,hers,她的
pronounHimself,himself,他自己
pronounHerself,herself,她自己
city,city,城市
village,village,村庄
hamlet,hamlet,村庄
farm,farm,农场
shack,shack,窝棚
manor,manor,庄园
community,community,社区
shrine,shrine,神社
King,King,国王
Queen,Queen,女王
Duke,Duke,公爵
Duchess,Duchess,公爵夫人
Marquis,Marquis,侯爵
Marquise,Marquise,侯爵夫人
Count,Count,数数
Countess,Countess,伯爵夫人
Baron,Baron,男爵
Baroness,Baroness,男爵夫人
Lord,Lord,主
Lady,Lady,女士
revered,revered,受到尊敬
esteemed,esteemed,受人尊敬
honored,honored,荣幸
admired,admired,钦佩
respected,respected,受人尊敬
dependable,dependable,可信
aCommonCitizen,a common citizen,普通公民
hated,hated,讨厌
pondScum,pond scum,塘泥
aVillain,a villain,一个坏人
aCriminal,a criminal,一名罪犯
aScoundrel,a scoundrel,一个骗子
undependable,undependable,不依赖
unknown,unknown,未知
Broken,Broken,破碎的
Useless,Useless,无用
Battered,Battered,受虐
Worn,Worn,磨损
Used,Used,用过的
SlightlyUsed,Slightly Used,稍微用
AlmostNew,Almost New,几乎是新的
New,New,新的
Nothing,Nothing,没有什么
local,local,当地的
tavern,tavern,酒馆
Attempted_Breaking_And_Entering,Attempted Breaking and Entering,未能破坏进入
Trespassing,Trespassing,侵入
Breaking_And_Entering,Breaking and Entering,破门而入
Assault,Assault,突击
Murder,Murder,谋杀
Tax_Evasion,Tax Evasion,逃税
Criminal_Conspiracy,Criminal Conspiracy,犯罪阴谋
Vagrancy,Vagrancy,流浪
Smuggling,Smuggling,走私
Piracy,Piracy,海盗行为
High_Treason,High Treason,叛国罪
Pickpocketing,Pickpocketing,扒手
Theft,Theft,盗窃
Treason,Treason,叛国
Loan_Default,Loan Default,贷款违约
Regular_Punishment_String,%gtp gold pieces in fines and %dip days in prison,％GTP罚款中的黄金件，监狱中的％浸入天数％
Banishment,Banishment,流放
Execution,Execution,执行
cannotChangeTransportationIndoors,You cannot change transportation indoors.,您不能在室内更改运输。
cannotTravelWithEnemiesNearby,You cannot travel with enemies nearby.,您不能与附近的敌人一起旅行。
cannotTravelIndoors,You cannot travel while indoors.,您不能在室内旅行。
powersUnknown,Powers unknown.,力量未知。
itemPowers,"Cast when used:
Cast when held:
Cast when strikes:
Extra spell pts
Potent vs
Regens health
Vampiric effect
Increased weight allowance
Repairs objects
Absorbs spells
Enhances skill
Feather weight
Strengthens armor
Improves talents
Good rep with
Soul bound
Item deteriorates
User takes damage
Vision problems
Walking problems
Low damage vs
Health leech
Bad reactions from
Extra weight
Weakens armor
Bad rep with","使用时铸造： 
 举行时铸造： 
 罢工时铸造： 
 额外的咒语pts 
 有效与 
 加入健康 
 吸血鬼效应 
 增加体重津贴 
 维修对象 
 吸收法术 
 提高技能 
 羽毛重量 
 加强盔甲 
 提高才能 
 好代表 
 灵魂束缚 
 项目恶化 
 用户受到损害 
 视力问题 
 步行问题 
 低伤害与 
 健康水ech 
 不良反应 
 额外的重量 
 削弱盔甲 
 不好的代表"
enemyNames,"Rat
Imp
Spriggan
Giant Bat
Grizzly Bear
Sabretooth Tiger
Spider
Orc
Centaur
Werewolf
Nymph
Slaughterfish
Orc Sergeant
Harpy
Wereboar
Skeletal Warrior
Giant
Zombie
Ghost
Mummy
Giant Scorpion
Orc Shaman
Gargoyle
Wraith
Orc Warlord
Frost Daedra
Fire Daedra
Daedroth
Vampire
Daedra Seducer
Ancient Vampire
Daedra Lord
Lich
Ancient Lich
Dragonling
Fire Atronach
Iron Atronach
Flesh Atronach
Ice Atronach
Horse
Dragonling
Dreugh
Lamia
Mage
Spellsword
Battlemage
Sorcerer
Healer
Nightblade
Bard
Burglar
Rogue
Acrobat
Thief
Assassin
Monk
Archer
Ranger
Barbarian
Warrior
Knight
City Watch","鼠 
 小鬼 
 斯普里格根 
 巨型蝙蝠 
 大灰熊 
 sabretooth老虎 
 蜘蛛 
 兽人 
 半人马座 
 狼人 
 若虫 
 屠宰场 
 兽人中士 
 哈皮 
 船 
 骨骼战士 
 巨大的 
 僵尸 
 鬼 
 木乃伊 
 巨型蝎子 
 兽人萨满 
 石像鬼 
 幽灵 
 兽队 
 弗罗斯特·达德拉 
 开火戴德拉 
 达德罗斯 
 吸血鬼 
 达德拉诱惑者 
 古代吸血鬼 
 达德拉·洛德（Daedra Lord） 
 巫婆 
 古老的巫妖 
 资园 
 开火Atronach 
 铁Atronach 
 肉Atronach 
 冰阿特罗纳赫 
 马 
 资园 
 Dreugh 
 拉米亚 
 法师 
 拼写标志 
 战司 
 巫师 
 治愈者 
 睡衣 
 诗人 
 小偷 
 流氓 
 杂技演员 
 贼 
 刺客 
 僧 
 射手 
 游侠 
 野蛮人 
 战士 
 骑士 
 城市观察"
extraSpellPtsTimes,"during Winter
during Spring
during Summer
during Fall
during Full Moon
during Half Moon
during New Moon
near undead
near daedra
near humanoids
near animals","在冬天 
 春季 
 在夏天 
 秋天 
 在满月期间 
 在半月期间 
 在新月期间 
 近年 
 在达德拉附近 
 靠近人形生物 
 近动物"
regensHealthTimes,"all the time
in sunlight
in darkness","每时每刻 
 在阳光下 
 在黑暗中"
vampiricEffectRanges,"at range
when strikes","在范围 
 当罢工时"
increasedWeightAllowances,"25% additional
50% additional","额外25％ 
 额外50％"
improvedTalents,"hearing
athleticism
adrenaline rush","听力 
 运动能力 
 肾上腺素"
itemDeteriorateLocations,"all the time
in sunlight
in holy places","每时每刻 
 在阳光下 
 在圣地"
userTakesDamageLocations,"in sunlight
in holy places","在阳光下 
 在圣地"
enemyGroupNames,"undead
Daedra
humanoids
animals","亡灵 
 达德拉 
 人形生物 
 动物"
healthLeechStopConditions,"whenever used
unless used daily
unless used weekly","每当使用时 
 除非每天使用 
 除非每周使用"
badReactionFromEnemyGroups,"humanoids
animals
Daedra","人形生物 
 动物 
 达德拉"
repWithGroups,"Commoners
Merchants
Scholars
Nobility
Underworld
All","平民 
 商人 
 学者 
 贵族 
 地狱 
 全部"
youReceiveGoldPieces,You receive %s gold pieces.,您会收到％s金片。
bankPurchasePrice,Price : %s gold,价格：％s黄金
youHaveRentedRoom,You have a room at %s for %d hours.,您的房间为％s，持续％D小时。
haveNotRentedRoom,You have not rented a room here.,您没有在这里租一个房间。
expiredRentedRoom,Your time for this room has expired.,您在这个房间的时间已经过期。
tavernAle,Ale (1 gold),啤酒（1金）
tavernBeer,Beer (1 gold),啤酒（1金）
tavernMead,Mead (2 gold),米德（2金）
tavernWine,Wine (3 gold),葡萄酒（3金）
tavernBread,Bread (1 gold),面包（1金）
tavernBroth,Broth (1 gold),汤（1金）
tavernCheese,Cheese (2 gold),奶酪（2金）
tavernFowl,Fowl (3 gold),家禽（3金）
tavernGruel,Gruel (2 gold),肮脏（2金）
tavernPie,Pie (2 gold),派（2金）
tavernStew,Stew (3 gold),炖（3金）
pressButtonToFireSpell,Press button to fire spell.,按按钮进行射击法术。
climbingMode,Climbing mode.,攀登模式。
rappelMode,Rappel mode.,拼图模式。
hangingMode,Hanging Mode,悬挂模式
acuteHearing,Acute Hearing,急性听力
adrenalineRush,Adrenaline Rush,肾上腺素
athleticism,Athleticism,运动能力
bonusToHit,Bonus to hit,奖金命中
expertiseIn,Expertise in,专业知识
immunity,Immunity,免疫
increasedMagery,Increased Magery,魔术师增加
rapidHealing,Rapid Healing,快速康复
regenerateHealth,Regenerate Health,再生健康
resistance,Resistance,反抗
spellAbsorption,Spell Absorption,拼写吸收
animals,Animals,动物
daedra,Daedra,达德拉
humanoid,Humanoid,人形生物
undead,Undead,亡灵
axe,Axe,斧头
bluntWeapon,Blunt Weapon,钝武器
handToHand,Hand-to-Hand,手把手
longBlade,Long Blade,长刀片
missileWeapon,Missile Weapon,导弹武器
shortBlade,Short Blade,短刀片
toDisease,To Disease,疾病
toFire,To Fire,开火
toFrost,To Frost,弗罗斯特
toMagic,To Magic,魔术
toParalysis,To Paralysis,瘫痪
toPoison,To Poison,毒
toShock,To Shock,震惊
intInSpellPoints15,1.5X INT In Spell Points,1.5倍的咒语点
intInSpellPoints175,1.75X INT In Spell Points,1.75x INT咒语点
intInSpellPoints2,2X INT In Spell Points,2x int咒语点
intInSpellPoints3,3X INT In Spell Points,咒语点3x int
intInSpellPoints,INT In Spell Points,INT咒语点
general,General,一般的
inDarkness,In Darkness,在黑暗中
inLight,In Light,在光明中
whileImmersed,While Immersed In Water,浸入水中
criticalWeakness,Critical Weakness,批判性弱点
damage,Damage,损害
darknessPoweredMagery,Darkness-Powered Magery,黑暗驱动的魔术
forbiddenArmorType,Forbidden Armor Type,禁止装甲类型
forbiddenMaterial,Forbidden Material,禁止材料
forbiddenShieldTypes,Forbidden Shield Types,禁止盾牌类型
forbiddenWeaponry,Forbidden Weaponry,禁止武器
inabilityToRegen,Inability To Regen Spell Points,无法再生咒语点
lightPoweredMagery,Light-Powered Magery,轻度魔术
lowTolerance,Low Tolerance,低公差
phobia,Phobia,恐怖症
fromHolyPlaces,From Holy Places,来自圣地
fromSunlight,From Sunlight,来自阳光
lowerMagicAbilityDaylight,Lower Magic Ability In Daylight,降低白天的魔术能力
unableToUseMagicInDaylight,Unable To Use Magic In Daylight,无法在白天使用魔术
chain,Chain,链
leather,Leather,皮革
plate,Plate,盘子
adamantium,Adamantium,金刚雄
daedric,Daedric,Daedric
dwarven,Dwarven,矮人
ebony,Ebony,乌木
elven,Elven,精灵
iron,Iron,铁
mithril,Mithril,密特里
orcish,Orcish,orcish
silver,Silver,银
steel,Steel,钢
buckler,Buckler,巴克勒
kiteShield,Kite Shield,风筝盾
roundShield,Round Shield,圆形盾牌
towerShield,Tower Shield,塔盾
lowerMagicAbilityDarkness,Lower Magic Ability In Darkness,降低黑暗中的魔术能力
unableToUseMagicInDarkness,Unable To Use Magic In Darkness,无法在黑暗中使用魔法
helpAttributes,Attributes,属性
helpClassName,Class Name,班级名称
helpGeneral,General,一般的
helpReputations,Reputations,声誉
helpSkillAdvancement,Skill Advancement,技能进步
helpSkills,Skills,技能
helpSpecialAdvantages,Special Advantages,特殊优势
helpSpecialDisadvantages,Special Disadvantages,特殊缺点
lower,Lower,降低
higher,Higher,更高
unchanged,Unchanged,不变
elsweyr,Elsweyr,Elsweyr
blackMarsh,Black Marsh,黑沼泽
hammerfell,Hammerfell,Hammerfell
highRock,High Rock,高岩
morrowind,Morrowind,凌晨
skyrim,Skyrim,天际
sumurset,Sumurset,sumurset
valenwood,Valenwood,瓦伦伍德
rollingHills,rolling hills,连绵起伏的丘陵
desertLand,desertland,沙漠世界
mountains,mountains,山
swamps,swamps,沼泽
forests,forests,森林
shores,shores,海岸
medical,Medical,医疗的
etiquette,Etiquette,礼仪
streetwise,Streetwise,街头
jumping,Jumping,跳跃
harpy,Harpy,哈皮
giantish,Giantish,巨型
dragonish,Dragonish,龙
nymph,Nymph,若虫
aedric,Daedric,Daedric
spriggan,Spriggan,斯普里格根
centaurian,Centaurian,百万富翁
impish,Impish,势头
lockpicking,Lockpicking,锁定
mercantile,Mercantile,商业
pickpocket,Pickpocket,扒手
stealth,Stealth,隐身
swimming,Swimming,游泳
climbing,Climbing,攀登
backstabbing,Backstabbing,背刺
dodging,Dodging,躲避
running,Running,跑步
destruction,Destruction,破坏
restoration,Restoration,恢复
illusion,Illusion,错觉
alteration,Alteration,改造
thaumaturgy,Thaumaturgy,thaumaturgy
mysticism,Mysticism,神秘主义
archery,Archery,射箭
criticalStrike,Critical Strike,致命一击
strength,Strength,力量
intelligence,Intelligence,智力
willpower,Willpower,意志
agility,Agility,敏捷
endurance,Endurance,耐力
personality,Personality,性格
speed,Speed,速度
luck,Luck,运气
STR,STR,str
INT,INT,int
WIL,WIL,会
AGI,AGI,Agi
END,END,结尾
PER,PER,每
SPD,SPD,SPD
LUC,LUC,卢克
breton,Breton,布雷顿
redguard,Redguard,红人
darkElf,Dark Elf,黑精灵
highElf,High Elf,高精灵
woodElf,Wood Elf,木精灵
khajiit,Khajiit,khajiit
argonian,Argonian,氩气
vampire,Vampire,吸血鬼
werewolf,Werewolf,狼人
wereboar,Wereboar,船
vraseth,Vraseth,弗拉塞斯
haarvenu,Haarvenu,Haarvenu
thrafey,Thrafey,Thrafey
lyrezi,Lyrezi,七弦琴
montalion,Montalion,蒙塔利翁
khulari,Khulari,库拉利
garlythi,Garlythi,加莱西
anthotis,Anthotis,Anthotis
selenu,Selenu,塞勒努
lockedExteriorDoor,Locked.,锁定。
canOnlyCastOncePerDay,Can only be cast once per day...,每天只能施放一次...
youNeedToHuntTheInnocent,You feel the need to hunt the innocent...,您认为有必要狩猎无辜的...
youDreamOfTheMoon,"You dream, once again, of the moon...",你再次梦想着月亮...
inventoryWhileShapechanged,You cannot access the inventory while shapechanged...,您无法访问库存时...
youGetNoResponse,You get no response.,您没有任何回应。
copyLogbookInfo,Left-click: toggle copy of selected text. Right-click: copy whole current conversation.,左键单击：切换选定文本的副本。 右键单击：复制整个当前对话。
east,east,东方
northeast,northeast,东北
north,north,北
northwest,northwest,西北
west,west,西方
southwest,southwest,西南
south,south,南
southeast,southeast,东南
thisPlace,this place,这个地方
AnyNews,Any news?,任何新闻？
WhereAmI,Where am I?,我在哪里？
AnswerTextWhereAmI,You are in {0} in {1}.,您在{1}中的{0}中。
YouAreInSameBuilding,You have found {0}. You are in it.,您找到了{0}。 你在里面。
NpcInSameBuilding,{0} is around here in {1}.,{0}在{1}中在这里。
PreviousList,Previous List,上一个列表
General,General,一般的
Regional,Regional,区域
Alchemists,Alchemists,炼金术士
Armorers,Armorers,装甲
Banks,Banks,银行
Bookstores,Bookstores,书店
Clothingstores,Clothing stores,服装店
Gemstores,Gem stores,宝石商店
Generalstores,General stores,一般商店
Guilds,Guilds,公会
Libraries,Libraries,库
Pawnshops,Pawn shops,典当商店
Taverns,Taverns,小酒馆
Weaponsmiths,Weapon smiths,武器史密斯
Localtemples,Local temples,当地的寺庙
Sir,Sir,先生
Ma'am,Ma'am,女士
oldLeaderFate0,died of heart failure,死于心力衰竭
oldLeaderFate1,fell and struck his head,摔倒
oldLeaderFate2,died of the plague,死于瘟疫
oldLeaderFate3,stepped down under pressure,在压力下辞职
oldLeaderFate4,was overthrown,被推翻了
oldLeaderFate5,was found murdered in his bed,被发现在他的床上被谋杀
toBeReplacedStringRegional,Any,任何
replacementStringRegional,any,任何
comma,",  ",，，，，
resolvingError,...never mind...,...没关系...
chameleon,Chameleon,变色龙
charm,Charm,魅力
comprehendLanguages,Comprehend Languages,理解语言
continuousDamage,Continuous Damage,连续损坏
createItem,Create Item,创建项目
cure,Cure,治愈
detect,Detect,探测
disintegrate,Disintegrate,瓦解
dispel,Dispel,打消
drain,Drain,流走
elementalResistance,Elemental Resistance,元素阻力
fortifyAttribute,Fortify Attribute,强化属性
freeAction,Free Action,免费动作
heal,Heal,愈合
identify,Identify,确认
invisibility,Invisibility,隐形
levitate,Levitate,悬浮
light,Light,光
lock,Lock,锁
morphSelf,Morph Self,变形自我
open,Open,打开
pacify,Pacify,安抚
paralyze,Paralyze,瘫痪
regenerate,Regenerate,再生
shadow,Shadow,阴影
shield,Shield,盾
silence,Silence,安静
slowfall,Slowfall,慢速降落
soulTrap,Soul Trap,灵魂陷阱
spellReflection,Spell Reflection,咒语反射
spellResistance,Spell Resistance,咒语阻力
teleport,Teleport,传送
transfer,Transfer,转移
waterBreathing,Water Breathing,水呼吸
waterWalking,Water Walking,水走
fire,Fire,火
frost,Frost,霜
magicka,Magicka,玛吉卡
poison,Poison,毒
shock,Shock,震惊
enemy,Enemy,敌人
magic,Magic,魔法
treasure,Treasure,宝藏
fatigue,Fatigue,疲劳
health,Health,健康
spellPoints,Spell Points,咒语点
disease,Disease,疾病
paralyzation,Paralyzation,瘫痪
animal,Animal,动物
normal,Normal,普通的
TRUE,TRUE,真的
noName,<no-name>,<noname>
youDontHaveTheSpellPoints,You don't have the spell points.,您没有咒语点。
youAreSilenced,You are silenced.,你很沉默。
youAreParalyzed,You are paralyzed.,你瘫痪了。
youFeelDrained,You feel drained.,你感到筋疲力尽。
youAreFortified,You are fortified.,你很强化。
youAreInvisible,You are invisible.,你是看不见的。
youAreLevitating,You are levitating.,你在悬浮。
youAreRegenerating,You are regenerating.,您正在再生。
youAreBlending,You are blending.,你正在融合。
youAreAShade,You are a shade.,你是阴影。
slowFallActive,Slow fall active.,慢速跌落活跃。
saveVersusSpellMade,Save versus spell made.,保存与法术。
spellEffectFailed,Spell effect failed.,法术效果失败。
spellAbsorbed,Spell was absorbed.,咒语被吸收。
spellReflected,Spell was reflected.,咒语反映了。
spellResisted,Spell was resisted.,咒语被抵抗。
readyToLock,Ready to lock.,准备锁定。
readyToOpen,Ready to open.,准备打开。
doorLocked,Door is now locked.,门现在被锁定了。
doorAlreadyLocked,Door already locked.,门已经锁定了。
openFailed,Lock is too powerful.,锁太强大了。
noSpellbook,You have no spellbook!,你没有咒语书！
sunlightDamageFastTravelDay,You cannot initiate fast travel during the day.,您不能在白天开始快速旅行。
trapActive,Trap active.,陷阱活动。
trapHumanoid,Trap will not work on humanoids.,陷阱对人形生物不起作用。
trapSuccess,Trapped soul.,被困的灵魂。
trapFail,Trap failed.,陷阱失败。
trapNoneEmpty,You have no empty soul traps!,你没有空的灵魂陷阱！
stamina,Stamina,耐力
orcStrength,Orc Strength,兽人的力量
healing,Healing,康复
restorePower,Restore Power,恢复功率
resistFire,Resist Fire,抵抗火
resistFrost,Resist Frost,抵抗霜
resistShock,Resist Shock,抵抗冲击
cureDisease,Cure Disease,治愈疾病
slowFalling,Slow Falling,慢慢下降
healTrue,Heal True,治愈真实
levitation,Levitation,悬浮
resistPoison,Resist Poison,抵抗毒药
curePoison,Cure Poison,治愈毒药
chameleonForm,Chameleon Form,变色龙形式
shadowForm,Shadow Form,阴影形式
purification,Purification,纯化
LeatherCuirass,Leather Cuirass,皮革胸衣
LeatherGauntlets,Leather Gauntlets,皮革手套
LeatherGreaves,Leather Greaves,皮革
LeatherLeftPauldron,Leather Left Pauldron,皮革左Pauldron
LeatherRightPauldron,Leather Right Pauldron,皮革右Pauldron
LeatherHelm,Leather Helm,皮头
LeatherBoots,Leather Boots,皮靴
ChainCuirass,Chain Cuirass,连锁店
ChainGauntlets,Chain Gauntlets,连锁手套
ChainGreaves,Chain Greaves,链条
ChainLeftPauldron,Chain Left Pauldron,连锁店离开了保尔德隆
ChainRightPauldron,Chain Right Pauldron,连锁右Pauldron
ChainHelm,Chain Helm,链舵
ChainBoots,Chain Boots,连锁靴
SteelCuirass,Steel Cuirass,钢制胸衣
SteelGauntlets,Steel Gauntlets,钢制手套
SteelGreaves,Steel Greaves,钢制
SteelLeftPauldron,Steel Left Pauldron,钢铁左Pauldron
SteelRightPauldron,Steel Right Pauldron,钢右Pauldron
SteelHelm,Steel Helm,钢铁头盔
SteelBoots,Steel Boots,钢靴
SteelBuckler,Steel Buckler,钢巴克勒
SteelDagger,Steel Dagger,钢匕首
SteelLongsword,Steel Longsword,钢长剑
SteelStaff,Steel Staff,钢铁人员
ShortBow,Short Bow,短弓
Arrows,Arrows,箭头
SteelBattleAxe,Steel Battle Axe,钢战斧
Robes,Robes,长袍
CastWhenUsed,Cast when used:,使用时铸造：
CastWhenHeld,Cast when held:,举行时铸造：
CastWhenStrikes,Cast when strikes:,罢工时铸造：
ExtraSpellPts,Extra spell pts,额外的咒语pts
PotentVs,Potent vs,有效与
RegensHealth,Regens health,加入健康
VampiricEffect,Vampiric effect,吸血鬼效应
IncreasedWeightAllowance,Increased Weight Allowance,增加体重津贴
RepairsObjects,Repairs objects,维修对象
AbsorbsSpells,Absorbs spells,吸收法术
EnhancesSkill,Enhances skill,提高技能
FeatherWeight,Feather Weight,羽毛重量
StrengthensArmor,Strengthens armor,加强盔甲
ImprovesTalents,Improves talents,提高才能
GoodRepWith,Good rep with,好代表
SoulBound,Soul bound,灵魂束缚
ItemDeteriorates,Item deteriorates,项目恶化
UserTakesDamage,User takes damage,用户受到损害
VisionProblems,Vision problems,视力问题
WalkingProblems,Walking problems,步行问题
LowDamageVs,Low damage vs,低伤害与
HealthLeech,Health leech,健康水ech
BadReactionsFrom,Bad reactions from,不良反应
ExtraWeight,Extra weight,额外的重量
WeakensArmor,Weakens armor,削弱盔甲
BadRepWith,Bad rep with,不好的代表
inHolyPlaces,in holy places,在圣地
wheneverUsed,whenever used,每当使用时
unlessUsedDaily,unless used daily,除非每天使用
unlessUsedWeekly,unless used weekly,除非每周使用
