Key,Value
515,"你闻到木烟味。[/记录]
最近有人这样。[/记录]
远处传来马嘶声。[/结束]","You smell woodsmoke.[/record]
Someone's been this way recently.[/record]
A horse neighs in the distance.[/end]"
1394,"Streetwise是一项技能检查[/center]
每当有人试图直言不讳时，[/center]
口语或非正式的[/center]
谈话中。[/中心]
[/结尾]","Streetwise is a skill checked[/center]
whenever one attempts to be blunt,[/center]
colloquial, or otherwise informal[/center]
in conversation.[/center]
[/end]"
1003,"%it[/中心]
条件：%qua[/center]
价值：%wth 金币[/center]
重量：%kg 公斤[/center]
[/结尾]","%it[/center]
Condition: %qua[/center]
Worth: %wth gold[/center]
Weight: %kg kilograms[/center]
[/end]"
204,"作者：星坠之水[/记录]
保佑我的主[/记录]
在地穴旁[/记录]
死亡该死[/记录]
作者：我的女士[/记录]
迷雾之中[/记录]
狼之手[/记录]
黑魔王[/记录]
高岩之魂[/记录]
作者：大德鲁伊[/记录]
伯拉纠[/记录]
疯狂[/记录]
龙之手[/记录]
该死的龙[/完]","By Starfall's Waters[/record]
Bless My Lord[/record]
By the Crypt[/record]
Death Be Damned[/record]
By My Lady[/record]
By the Mists[/record]
By the Wolf[/record]
By the Dark Lord[/record]
Spirits of High Rock[/record]
By the ArchDruid[/record]
By Pelagius[/record]
Madness[/record]
By the Dragon[/record]
Damn the Dragon[/end]"
206,"在埃尔登格罗夫[/记录]
由木材精神[/记录]
木材的传说[/记录]
米斯特里亚的诅咒[/记录]
森林之灵[/记录]
丛林仙子[/记录]
卡利隆之心[/记录]
从根本上来说[/记录]
埃尔登鲁特之火[/记录]
火边[/完]","By the Elden Grove[/record]
By the Timber Spirits[/record]
By the Lore of Wood[/record]
By Mistria's Curse[/record]
Spirits of the Wood[/record]
Faeries of the Grove[/record]
By Caliron's Heart[/record]
By the Root[/record]
Fire of Eldenroot[/record]
By the Fire[/end]"
268,"店面布置得实用又[/center]
直接的方式。所有项目[/center]
似乎有足够的结构。[/center]
[/结尾]","The shop is laid out in a practical and[/center]
straightforward manner. All the items[/center]
seem to be of adequate construction.[/center]
[/end]"
307,"玩家的反应决定整体速度[/center]
游戏的。如果你选择非常高的反应，[/中心]
怪物会快速移动和攻击，[/center]
迫使你快速控制。[/center]
非常低的反应意味着怪物会[/center]
缓慢移动和攻击，让你采用[/center]
更加谨慎、深思熟虑的游戏风格。你的[/中心]
角色的前进速度会慢一些 [/center]
较低的反射设置，并将提前 [/center]
反射设置越高，速度会快一些。[/center]
[/结尾]","Player reflexes determine the overall speed[/center]
of the game. If you pick VERY HIGH reflexes,[/center]
the monsters will move and attack quickly,[/center]
forcing you to be quick with the controls.[/center]
VERY LOW reflexes means the monsters will[/center]
move and attack slowly, allowing you to adopt[/center]
a more cautious, thoughtful play style. Your[/center]
character will advance a little slower with[/center]
a lower reflex setting, and will advance a[/center]
little faster with a higher reflex setting.[/center]
[/end]"
522,"有人清理了这里的灌木丛。[/记录]
你路过一堆柴火。[/记录]
附近有鸟叫。[/结束]","Someone's cleared the underbrush here.[/record]
You pass a stack of firewood.[/record]
A bird calls nearby.[/end]"
1010,"你身体不好，可能活不下去[/center]
较长时间的旅行。你呢[/中心]
还是想继续快[/center]
旅行？[/中心]
[/结尾]","You are not well and may not survive[/center]
an extended period of travel. Do you[/center]
still wish to continue with the fast[/center]
travel ?[/center]
[/end]"
11,"我不知道。[/记录]
老实说我无法告诉你。[/记录]
不知道，真的...[/记录]
尝试询问其他人。[/记录]
你告诉我。[/结束]","I have no idea.[/record]
I honestly couldn't tell you.[/record]
Don't know, really...[/record]
Try asking someone else.[/record]
You tell me.[/end]"
27,"你不能再徘徊了[/center]
一次超过3小时。[/center]
[/结尾]","You cannot loiter for more[/center]
than 3 hours at a time.[/center]
[/end]"
26,"你不能再休息了[/center]
一次超过 99 小时。[/center]
[/结尾]","You cannot rest for more[/center]
than 99 hours at a time.[/center]
[/end]"
266,"香火和轻柔的音乐舒缓你的神经[/center]
当你跨过门槛时。 [/center]中的每一项
这家店装修很仔细[/center]
显示。不能有丝毫瑕疵[/center]
在其中的任何项目中检测到。[/center]
[/结尾]","Incense and soft music soothe your nerves[/center]
as you cross the threshold. Each item in[/center]
this shop is carefully mounted and[/center]
displayed. Not the slightest defect can be[/center]
detected in any item within.[/center]
[/end]"
284,"你已经拥有一艘船了。你必须卖掉它[/center]
在你可以购买另一个之前。[/center]
[/结尾]","You already own a ship. You must sell it[/center]
before you can buy another.[/center]
[/end]"
301,"在退出之前命名您的角色类别。[/center]
[/结尾]","Name your character class before exiting.[/center]
[/end]"
305,"你不能再选择更多的缺点了。[/center]
[/结尾]","You cannot select any more disadvantages.[/center]
[/end]"
476,途歇城堡。[/结束],Castle Wayrest.[/end]
501,"你注意到兽人的踪迹。[/记录]
兽人的足迹覆盖了地面。[/记录]
那是兽人印记吗？[/结束]","You notice orc tracks.[/record]
Orc tracks cover the ground.[/record]
Was that an Orcish sigil?[/end]"
526,"潮湿的微风吹乱了你的头发。[/记录]
泉水从地下冒出气泡。[/记录]
看起来像一条路。[/end]","A dank breeze ruffles your hair.[/record]
A spring bubbles from the ground.[/record]
That looks like a path.[/end]"
1311,"毒墙[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：N/A + N/A 每 N/A 级别[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“施法者创建毒气墙，%1bm 至 %2bm 方格[/center]
施法者每 %clm 等级的米数。墙持续[/中心]
每轮 %bdr 轮加上 %adr 额外轮次[/center]
%cld 施法者等级。""[/center]
[/结尾]","Wall of Poison[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Caster creates a wall of poison gas, %1bm to %2bm square[/center]
meters for every %clm level(s) of the caster. Wall lasts[/center]
%bdr round(s) plus %adr additional round(s) for every[/center]
%cld level(s) of the caster.""[/center]
[/end]"
1284,"缩小[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
幅度：N/A + N/A 每 N/A 级别[/center]
“导致目标缩小到正常大小的一半。[/center]
成功的基本机会是 %bch，加上额外的[/center]
%ach 代表施法者的每 %clc 等级。[/center]
免疫将持续 %bdr 轮，[/center]
施法者每 %cld 等级加上 %adr 轮。""[/center]
[/结尾]","Diminution[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes target to shrink to half its normal size.[/center]
Base chance for success is %bch, plus an additional[/center]
%ach for every %clc level(s) of the caster.[/center]
Dimunization will last for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.""[/center]
[/end]"
1246,"治疗速度[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“治愈目标的速度。[/center]
目标将恢复 %1bm 至 %2bm 点速度，[/center]
每 %clm 级别加 %1am 至 %2am 积分[/center]
施法者的速度直到目标的速度[/center]
处于正常水平。”[/center]
[/结尾]","Heal Speed[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Speed.[/center]
Target will heal %1bm to %2bm points of Speed,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Speed[/center]
is at its normal level.""[/center]
[/end]"
1247,"治愈好运[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“治愈目标的运气。[/center]
目标将治愈 %1bm 到 %2bm 幸运点，[/center]
每 %clm 级别加 %1am 至 %2am 积分[/center]
施法者的直到目标的运气[/center]
处于正常水平。”[/center]
[/结尾]","Heal Luck[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Luck.[/center]
Target will heal %1bm to %2bm points of Luck,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Luck[/center]
is at its normal level.""[/center]
[/end]"
1526,"流失——运气[/center]
降低目标的幸运值。[/center]
持续时间：瞬时。[/center]
机会：不适用[/中心]
幅度：耗尽的点数。[/center]
[/结尾]","Drain -- Luck[/center]
Reduces target's Luck Points.[/center]
Duration: Instantaneous.[/center]
Chance: N/A[/center]
Magnitude: Number of points drained.[/center]
[/end]"
1502,"瘫痪[/中心]
使目标麻痹。[/center]
持续时间：麻痹持续多少轮。[/center]
有几率麻痹目标。[/center]
震级：不适用[/中心]
[/结尾]","Paralyzation[/center]
Causes target to be paralyzed.[/center]
Duration: How many rounds paralysis lasts.[/center]
Chance of paralyzing target.[/center]
Magnitude: N/A[/center]
[/end]"
1536,"强化耐力[/center]
增加目标的耐力。[/center]
持续时间：回合属性增加持续。[/center]
机会：不适用[/center]
幅度：属性增加量。[/center]
[/结尾]","Fortify Endurance[/center]
Increases target's Endurance.[/center]
Duration: Rounds Attribute increase lasts.[/center]
Chance: N/A[/center]
Magnitude: Amount of Attribute increase.[/center]
[/end]"
1531,"元素抗性——魔法[/center]
目标免疫魔法伤害。[/center]
持续时间：回合阻力持续。[/center]
几率：成功施展法术的几率。[/center]
震级：不适用[/中心]
如果法术失败，目标将受到一半的魔法伤害。[/center]
[/结尾]","Elemental Resistance -- Magic[/center]
Target becomes immune to magic damage.[/center]
Duration: Rounds resistance lasts.[/center]
Chance: Chance of successfully casting spell.[/center]
Magnitude: N/A[/center]
Target takes half damage from magic if spell fails.[/center]
[/end]"
10,我认为他们在 %fcn 中有一个。[/end],I think they have one in %fcn.[/end]
24,"这个不需要修复。[/center]
[/结尾]","This does not need to be repaired.[/center]
[/end]"
300,"三主、三大、六小技能[/center]
退出前必须选择。[/center]
[/结尾]","Three primary, three major, and six minor skills[/center]
must be selected before exiting.[/center]
[/end]"
306,"匕首进阶难度不能[/center]
在红色。选择更多优点来搬家吧[/center]
向上，或者向下移动会带来更多缺点。[/center]
[/结尾]","The difficulty of advancing dagger cannot be[/center]
in the red. Select more advantages to move it[/center]
up, or more disadvantages to move it down.[/center]
[/end]"
355,你现在睡不着。[/结束],You cannot sleep now.[/end]
462,"我有一套极好的房产给你[/center]
%pcn！让我在你的地图上标记它。[/center]
[/结尾]","I have an excellent property for you[/center]
%pcn! Let me mark it on your map.[/center]
[/end]"
878,马兰骑士是那些将剑献给母神玛拉的战士。他们发誓要保护她在泰姆瑞尔的事业和仁慈。[/结束],The Maran Knights are those warriors who have dedicated their swords to the Mother Goddess Mara. They are sworn to protect her cause and Her Benevolences in Tamriel.[/end]
883,凯纳兰骑士团由将自己的思想、身体和剑奉献给空气女神凯娜雷斯的骑士组成。他们最常与凯纳雷斯神庙的祭司们在一起。[/结束],"The Kynaran Order is composed of knights who have dedicated themselves mind, body, and sword to the Goddess of the Air, Kynareth. They are most often in the company of Her priests of the Temple of Kynareth.[/end]"
402,"我是间谍大师。我什么都知道[/center]
发生在髂湾。其他人可能会给[/中心]
你们都是谣言，但我的谣言永远都是真的。[/center]
[/结尾]","I am the Spymaster. I know everything that[/center]
happens on the Iliac Bay. Others might give[/center]
you rumors, but my rumors are always true.[/center]
[/end]"
1295,"空灵[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
幅度：N/A + N/A 每 N/A 级别[/center]
“使施法者变得空灵，从而能够行走[/center]
墙壁。成功几率为 %bch，加上 %ach every[/center]
%clc 施法者等级。 Caster将保留[/center]
%bdr 轮的空灵，加上 %adr 轮[/center]
每 %cld 施法者等级。""[/center]
[/结尾]","Etherealness[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Turns caster ethereal, thus able to walk through[/center]
walls. Chance of success is %bch, plus %ach every[/center]
%clc level(s) of the caster. Caster will remain[/center]
ethereal for %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
1309,"火墙[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：N/A + N/A 每 N/A 级别[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“施法者创建一堵火墙，面积为 %1bm 至 %2bm 平方米[/center]
对于施法者的每 %clm 等级。墙持续%bdr[/center]
每 %cld[/center] 回合加上 %adr 额外回合
施法者的等级。”[/center]
[/结尾]","Wall of Fire[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Caster creates a wall of fire, %1bm to %2bm square meters[/center]
for every %clm level(s) of the caster. Wall lasts %bdr[/center]
round(s) plus %adr additional round(s) for every %cld[/center]
level(s) of the caster.""[/center]
[/end]"
1572,"变色龙（真实）[/center]
目标变得难以看见。[/center]
持续时间：回合目标仍然被遮挡。[/center]
机会：不适用[/中心]
震级：不适用[/中心]
[/结尾]","Chameleon (True)[/center]
Target becomes difficult to see.[/center]
Duration: Rounds target remains obscured.[/center]
Chance:N/A[/center]
Magnitude: N/A[/center]
[/end]"
1555,"转移人格[/中心]
将目标人格点转移给施法者。[/center]
持续时间：瞬时。[/center]
机会：不适用[/center]
幅度：转移的点数。[/center]
[/结尾]","Transfer Personality[/center]
Transfers target Personality Points to caster.[/center]
Duration: Instantaneous.[/center]
Chance: N/A[/center]
Magnitude: Amount of points transferred.[/center]
[/end]"
1540,"治愈力量[/中心]
恢复目标的力量，达到正常水平。[/center]
持续时间：瞬时。[/center]
机会：不适用[/center]
幅度：恢复的点数。[/center]
[/结尾]","Heal Strength[/center]
Restores target's Strength, up to normal level.[/center]
Duration: Instantaneous.[/center]
Chance: N/A[/center]
Magnitude: Number of points restored.[/center]
[/end]"
2076,"我们，仁慈的斯坦达尔骑士团[/center]
我们称自己为十字军，因为它是[/center]
我们保护圣殿的神圣职责[/center]
并进行战斗。虽然我们坚定[/center]
拥护圣殿的哲学[/center]
同情心和慈善事业，我们认可[/center]
如果圣殿很弱，它就不能[/center]
现实地生存。[/center]
[/中心]
只有那些具有强大战斗力和[/center]
对圣殿和[/中心]的忠诚
Stendarr 神有资格获得可能[/center]
十字军成员。[/center]
[/结尾]","We, the Knights of Stendarr the Merciful[/center]
call ourselves the Crusaders, for it is[/center]
our sacred duty to protect the Temple[/center]
and fights its battles. While we firmly[/center]
espouse the Temple's philosophy of[/center]
compassion and charity, we recognize[/center]
that if the Temple is weak, it cannot[/center]
realistically survive.[/center]
[/center]
Only those of great combat ability and[/center]
proven devotion to the Temple and the[/center]
God Stendarr are eligible for possible[/center]
membership in the Crusaders.[/center]
[/end]"
17,在城市内或城市附近露营是违法的。[/结束],It is illegal to camp in or near a city.[/end]
38,"您想使用您的马车吗[/center]
并留在%cn？[/center]
[/结尾]","Do you wish to access your wagon[/center]
and stay in %cn?[/center]
[/end]"
103,"您患有胃腐病。[/center]
这是一个永久性的条件，除非[/center]
你被治愈了，其特征是[/center]
健康状况每日略有下降。[/center]
[/结尾]","You have contracted Stomach Rot.[/center]
It is a permanent condition, unless[/center]
you are cured, characterized by a[/center]
slight daily drop in health.[/center]
[/end]"
260,"“您的到来使我不起眼的商店感到荣幸[/center]
%pcn。虽然我需要两倍[/center]
足以养活我饥饿的家人，l[/center]
将赠送%a金币。”[/center]
[/记录]
“你是一个最强大的讨价还价者，[/center]
%%平常的要求很远[/center]
更多，但我可以和你做个交易，[/center]
也只有你。 %a 金币和[/center]
是你的了。”[/center]
[/记录]
“我亲爱的%pcf，不为任何人，不为我[/center]
最亲密的家人或最好的朋友会[/center]
我考虑以 %a 的价格出售它[/center]
金块。对于没有人来说，[/center]
除了你。”[/center]
[/记录]
“这远远低于合理的价格——我[/center]
了解市场。另一方面，在[/center]
某些非常罕见的情况，是[/center]
对于盈利来说不太重要。我可以[/中心]
在你的情况下遭受损失。 %a 金币[/center]
碎片，好％pcf，它是你的了。”[/center]
[/结尾]","""Your presence honors my humble shop[/center]
%pcn. Although I need twice as[/center]
much to feed my starving family, l[/center]
will give it away for %a gold pieces.""[/center]
[/record]
""You are a most formidable bargainer,[/center]
%pct. The usual asking is far[/center]
more, but I can make a deal with you,[/center]
and you only. %a gold pieces and[/center]
it's yours.""[/center]
[/record]
""My dear %pcf, for no one, not my[/center]
closest family or best of friends would[/center]
I consider selling that for %a[/center]
gold pieces. For no one that is,[/center]
except you.""[/center]
[/record]
""This is far below a fair price -- I[/center]
know the market. On the other hand, in[/center]
certain, very rare cases, it is[/center]
less important to make a profit. I can[/center]
take a loss in your case. %a gold[/center]
pieces, good %pcf, and it's yours.""[/center]
[/end]"
529,"脚下的大地在震动。[/记录]
绿色的薄雾让你的眼睛灼痛。[/记录]
你注意到一股强烈的刺鼻气味。[/结束]","The ground vibrates underfoot.[/record]
A green haze makes your eyes burn.[/record]
You notice a strong acrid odor.[/end]"
534,"地面被火熏黑了。[/记录]
天气肯定会变暖。[/记录]
你经过一具烧焦的骷髅。[/结束]","The ground is blackened by fire.[/record]
It is definitely getting warmer.[/record]
You pass a charred skeleton.[/end]"
684,"出色的。欢迎来到战士公会，[/center]
%pcf。您当前的等级为%lev。[/center]
[/结尾]","Excellent. Welcome to the Fighters Guild,[/center]
%pcf. Your rank currently is %lev.[/center]
[/end]"
888,号角之主由兰林最优秀的骑士组成，他们宣誓保护和服务兰林男爵及其统治家族。[/结束],"The Host of the Horn is composed of the finest knights of Lainlyn, bound by oaths to protect and serve the Barony of Lainlyn and its ruling family.[/end]"
1410,"晚上锁好门。没有人能免受犯罪分子的侵害。他们只是拿走他们想要的任何东西。[/记录]
他们在光天化日之下杀死了%n。守卫甚至什么也没做。这是什么地方。[/end]","Lock your doors at night. Nobody is safe anymore from the criminals. They just take anything they want.[/record]
They killed %n in broad daylight. The guards didn't even do anything. What is this place coming to.[/end]"
1383,"长剑是一项每当检查时都会检查的技能[/center]
一个人试图用[/center]攻击目标
长刃的砍杀武器，例如[/center]
克莱莫尔或武士刀。[/center]
[/结尾]","Long Blade is a skill checked whenever[/center]
one attempts to strike a target with a[/center]
long-bladed, slashing weapon such as a[/center]
claymore or a katana.[/center]
[/end]"
1278,"攀登[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“导致目标以自然速率的两倍攀升。[/center]
施法后，法术在 %bdr 轮内保持有效状态，[/center]
施法者每 %cld 等级加上 %adr 轮，[/center]
当目标开始爬升时会触发。”[/center]
[/结尾]","Climbing[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to climb at twice the natural rate.[/center]
After being cast, spell remains active for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster,[/center]
and will trigger when target begins to climb.""[/center]
[/end]"
1386,"神秘主义指的是学派[/center]
神秘主义，六大途径之一[/center]
魔法研究。神秘主义最[/center]
奥术学校和所创造的咒语[/center]
其应用范围多种多样[/center]
遥远的沉默和灵魂的陷阱。[/center]
[/结尾]","Mysticism refers to the School of[/center]
Mysticism, one of the six avenues of[/center]
magical study. Mysticism is the most[/center]
arcane school, and the spells created[/center]
by its application are as varied as[/center]
Far Silence and Soul Trap.[/center]
[/end]"
916,"溃烂的百合闻起来比杂草还难闻[/记录]
虽然我靠你的手喂食，但我还是饿了[/记录]
玛拉啊，我必须遵守你残酷的法律[/记录]
亲爱的，跟随我所引领的道路[/记录]
我的灵魂从欲望之刃中流血[/记录]
美丽的玛拉，我恳求你的仁慈[/记录]
吃好饭喝好酒[/记录]
你可能会发现你得到了你需要的[/记录]
雨手之水快来吧[/记录]
你最高贵的物种，你最优秀的品种[/记录]
爱是我的宗教，悲伤是我的信条[/记录]
把我当作你的，因为爱而不是贪婪[/记录]
一号种子月份雨水充沛[/记录]
力如牛，迅如马[/记录]
我发誓绝不会误导你的骄傲[/记录]
男人的肮脏法则阻碍了真爱[/记录]
你的美丽和优雅无人能及[/结束]","Lilies that fester smell worse than weed[/record]
I starve though from thy hand I feed[/record]
O Mara, thy cruel law I must heed[/record]
Follow, dear, the path I lead[/record]
From the blade of lust my soul doth bleed[/record]
To thee, fair Mara, thy mercy I plead[/record]
Eat good food and drink fine mead[/record]
Thou may find thou gets what thou need[/record]
Come water of Rains Hand, come with speed[/record]
Thou noblest specie, thou finest breed[/record]
Love is my religion, but sorrow my creed[/record]
Take me as thine, for love not for greed[/record]
Rain is aplenty in the month of First Seed[/record]
Strong like an ox, and swift as a steed[/record]
Your pride I swear I would never mislead[/record]
Foul laws of men doth true love impede[/record]
Your beauty and grace none can exceed[/end]"
1477,"由于%reg发生饥荒，所有[/center]
商家进口食品必须[/中心]
向门长报告。[/center]
[/记录]
所有食物的十分之一[/center]
进入这个城镇必须转弯[/center]
交给 %t，以便 %g3 Grace 执行[/center]
免遭饥荒。[/center]
[/记录]
%reg 受到饥荒的困扰。消瘦[/中心]
食物会受到鞭打的惩罚。 -- %nrn[/结束]","Due to the famine in %reg, all[/center]
merchants importing food must[/center]
report to the gate captain.[/center]
[/record]
One part in ten of all food[/center]
entering this town must be turned[/center]
over to %t, so that %g3 grace does[/center]
not suffer from the famine.[/center]
[/record]
%reg is beset by famine. Wasting[/center]
food is punishable by flogging. -- %nrn[/end]"
1657,你不能再为该物品附魔任何力量。[/end],You cannot enchant this item with any more powers.[/end]
2112,"僧侣接受过心理训练方面的专门训练。这个[/中心]
强烈的心理意识包括[/center]的能力
将身体变成一台致命的机器。技能最多[/中心]
对武僧来说重要的是：肉搏战、暴击、[/center]
躲避、游泳、医疗和钝器。[/center]
你希望你的角色成为武僧吗？[/center]
[/结尾]","Monks are specially trained in mental disciplines. This[/center]
intense mental awareness includes the ability to[/center]
turn the body into a lethal machine. The skills most[/center]
important to a Monk are: Hand-to-Hand, Critical Striking,[/center]
Dodging, Swimming, Medical, and Blunt Weapon.[/center]
Do you wish your character to be a Monk?[/center]
[/end]"
4179,与新的帝国战斗法师一起练习毁灭法术[/结束],practicing spells of destruction with the new Imperial Battlemage[/end]
19,您没有任何隶属关系。[/结束],You have no affiliations.[/end]
465,"我看你的魔力很低。你们这些巫师[/center]
确实需要更加小心。[/center]
来，让我给你充充电。[/center]
[/记录]
公会充值是惯例[/中心]
巫师的魔法。[/center]
[/记录]
嗯。这是不行的。我们不能[/center]
公会法师到处乱跑[/center]
魔法。我就给你充电。[/center]
[/结尾]","I see your magicka is low. You sorcerers[/center]
really need to be more careful.[/center]
Here, let me recharge you.[/center]
[/record]
It is customary for the guild to recharge[/center]
the magicka of sorcerers.[/center]
[/record]
Hmmm. This will not do. We can't have[/center]
guild sorcerers running around with low[/center]
magicka. I'll just recharge you.[/center]
[/end]"
505,"到处都是成堆的泥土。[/记录]
这里的地面上有深深的车辙。[/记录]
你绕过一个大坑。[/结束]","Piles of dirt are everywhere.[/record]
Deep ruts score the ground here.[/record]
You detour around a gaping pit.[/end]"
535,"你经过闷烧的篝火。[/记录]
一个标志警告：“非法侵入者要当心”。[/记录]
一只猫头鹰在附近轻轻地叫着。[/结束]","You pass a smoldering campfire.[/record]
A sign warns, ""Trespassers Beware"".[/record]
An owl hoots softly nearby.[/end]"
852,"的故事[/记录]
%3hn​​ 和 [/记录]
%3hn​​ 和 [/记录]
%3hn​​ 和 [/记录]
%3hn​​ 和 [/记录]
%2hn 和 [/记录]
之战[/记录]
歌谣[/记录]
的故事[/记录]
之歌[/记录]
史诗[/记录]
冒险[/记录]
[/记录] 的传奇
流浪[/完]","The Tale of [/record]
%3hn and [/record]
%3hn and [/record]
%3hn and [/record]
%3hn and [/record]
%2hn and [/record]
The Battle of [/record]
The Ballad of [/record]
The Story of [/record]
The Song of [/record]
The Epic of [/record]
The Adventure of [/record]
The Saga of [/record]
The Wandering of [/end]"
855,"年轻的姑娘[/记录]
大底[/记录]
挞[/记录]
布比[/记录]
女士[/记录]
变态[/记录]
默金[/记录]
特罗洛普[/记录]
妓女[/记录]
老人[/记录]
妓女[/记录]
妾[/记录]
樵夫[/完]","Young Wench[/record]
Large Bottom[/record]
Tart[/record]
Boobie[/record]
Lady[/record]
Pervert[/record]
Merkin[/record]
Trollop[/record]
Harlot[/record]
Old Man[/record]
Strumpet[/record]
Concubine[/record]
Woodcutter[/end]"
